open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1679356800000,1731.71,1732.28,1731.21,1731.21,3015.644,1679356859999,5221938.02345,2782,1220.472,2113374.40558,0
1679356860000,1731.21,1732.20,1730.43,1731.95,3121.936,1679356919999,5404507.19754,2506,1114.595,1929793.14223,0
1679356920000,1731.94,1732.37,1730.77,1732.12,2551.854,1679356979999,4418963.80224,2150,1626.272,2816327.19309,0
1679356980000,1732.12,1733.42,1731.51,1732.59,3655.088,1679357039999,6333362.41529,2344,2187.344,3790049.99487,0
1679357040000,1732.59,1733.60,1732.26,1733.04,1518.605,1679357099999,2632141.72657,1847,940.650,1630405.05657,0
1679357100000,1733.04,1733.76,1732.83,1733.23,1855.118,1679357159999,3215714.38915,1827,646.198,1120183.95520,0
1679357160000,1733.24,1733.62,1731.74,1731.74,2388.932,1679357219999,4138950.56347,2130,714.392,1237654.92694,0
1679357220000,1731.75,1731.75,1729.64,1729.65,3149.871,1679357279999,5450569.67971,2295,820.069,1419175.17686,0
1679357280000,1729.65,1729.83,1727.96,1728.55,3167.617,1679357339999,5476981.41823,2366,1163.013,2010870.44931,0
1679357340000,1728.56,1731.01,1727.98,1730.25,2623.722,1679357399999,4536649.48477,1792,1661.859,2873491.93953,0
1679357400000,1730.24,1732.33,1730.12,1731.24,2792.182,1679357459999,4834389.34546,2337,1834.568,3176276.31016,0
1679357460000,1731.24,1731.52,1727.95,1729.72,2640.340,1679357519999,4566384.48877,2123,1024.536,1771836.55242,0
1679357520000,1729.72,1734.10,1729.55,1733.14,3443.679,1679357579999,5967140.37486,2874,2547.897,4415130.63716,0
1679357580000,1733.14,1733.86,1732.65,1732.65,1947.002,1679357639999,3374711.96835,1726,742.220,1286467.26170,0
1679357640000,1732.66,1733.90,1732.14,1733.47,1522.040,1679357699999,2637780.47981,1501,642.508,1113707.06358,0
1679357700000,1733.48,1734.96,1733.41,1734.31,2215.454,1679357759999,3842131.02228,2454,1292.645,2241732.49323,0
1679357760000,1734.31,1734.90,1732.36,1732.61,1368.707,1679357819999,2373330.16758,1674,492.415,853914.91443,0
1679357820000,1732.60,1734.22,1731.46,1734.12,2113.199,1679357879999,3660357.05951,1773,1187.776,2057526.80065,0
1679357880000,1734.11,1735.76,1733.97,1734.21,2516.163,1679357939999,4365154.56382,2380,1408.779,2444102.67772,0
1679357940000,1734.20,1737.07,1733.81,1736.57,3036.127,1679357999999,5269465.65041,2569,2114.783,3670806.64604,0
1679358000000,1736.57,1738.80,1736.27,1737.82,3713.546,1679358059999,6452644.00675,3391,2266.067,3937594.87126,0
1679358060000,1737.81,1738.63,1736.21,1737.87,2860.027,1679358119999,4969451.83670,2515,1525.054,2650014.49830,0
1679358120000,1737.86,1738.50,1737.28,1737.92,1309.747,1679358179999,2276146.49862,1454,688.347,1196232.77340,0
1679358180000,1737.91,1741.46,1737.61,1740.25,4654.093,1679358239999,8095665.25971,4531,3322.362,5779418.82082,0
1679358240000,1740.25,1742.81,1740.08,1741.31,6713.938,1679358299999,11693997.40402,4258,3161.128,5505760.94698,0
1679358300000,1741.30,1742.25,1738.85,1739.10,5109.148,1679358359999,8892630.45262,3743,1718.981,2991890.03002,0
1679358360000,1739.10,1740.66,1738.23,1740.65,2320.203,1679358419999,4035341.26835,2543,1264.737,2199807.10264,0
1679358420000,1740.65,1741.26,1739.75,1741.10,1183.433,1679358479999,2059811.37061,1398,470.913,819669.86554,0
1679358480000,1741.10,1742.48,1740.93,1741.74,1413.719,1679358539999,2462439.33960,1697,693.043,1207092.58928,0
1679358540000,1741.74,1741.89,1740.25,1740.73,1126.545,1679358599999,1961353.11204,1355,405.994,706906.53563,0
1679358600000,1740.72,1741.92,1740.54,1741.51,1965.448,1679358659999,3422361.78856,2231,864.699,1505763.49206,0
1679358660000,1741.51,1743.40,1741.51,1742.31,2006.449,1679358719999,3496279.53257,2285,1236.067,2153913.21296,0
1679358720000,1742.30,1742.33,1739.79,1742.14,5164.215,1679358779999,8994117.57375,2333,932.761,1624020.36040,0
1679358780000,1742.13,1742.53,1741.33,1741.78,1474.464,1679358839999,2568397.51620,1480,624.031,1087089.39086,0
1679358840000,1741.78,1743.56,1741.67,1742.22,2037.426,1679358899999,3550567.77479,2078,1153.797,2010717.66561,0
1679358900000,1742.21,1742.75,1740.61,1742.43,2136.584,1679358959999,3721242.12671,2022,1303.658,2270635.62025,0
1679358960000,1742.43,1744.68,1741.82,1744.49,2389.670,1679359019999,4166743.69889,2470,1770.677,3087534.09243,0
1679359020000,1744.49,1745.73,1743.27,1744.81,3653.963,1679359079999,6374117.32277,3172,1901.642,3317388.01621,0
1679359080000,1744.77,1747.90,1744.55,1746.80,8262.273,1679359139999,14429916.90603,4713,6077.490,10614653.00513,0
1679359140000,1746.80,1746.80,1744.90,1744.95,2804.815,1679359199999,4896287.82058,2396,1339.270,2337944.32851,0
1679359200000,1744.95,1746.94,1744.68,1746.89,2788.668,1679359259999,4868550.23825,2850,1884.722,3290534.15926,0
1679359260000,1746.89,1747.98,1746.88,1747.95,3829.601,1679359319999,6691984.02130,2887,2099.734,3669367.61109,0
