open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,34651.40,34676.50,34650,34669.90,376.040,1698796859999,13036100.92890,4214,199.885,6929500.65670,0
1698796860000,34669.90,34684,34637.30,34637.40,431.177,1698796919999,14948280.12090,4495,229.490,7957307.95100,0
1698796920000,34637.40,34653.40,34632.50,34651.40,175.894,1698796979999,6093655.29860,2669,71.494,2476893.32090,0
1698796980000,34651.30,34651.40,34608.60,34621.10,476.587,1698797039999,16500972.84960,5182,89.613,3102759.31420,0
1698797040000,34621.10,34622.60,34592,34615.40,546.312,1698797099999,18903900.13040,5557,214.962,7438202.93140,0
1698797100000,34615.40,34622.20,34594.30,34599.40,355.038,1698797159999,12287187.50440,4149,88.692,3069624.33710,0
1698797160000,34599.30,34624.10,34596.30,34619.80,198.222,1698797219999,6860485.25540,3076,62.265,2155040.26550,0
1698797220000,34619.80,34673.10,34619.80,34655.30,288.270,1698797279999,9990691.72340,3791,167.919,5818802.52900,0
1698797280000,34655.20,34665.40,34631.70,34638,370.309,1698797339999,12831016.22150,4550,143.360,4967468.24110,0
1698797340000,34638.10,34656,34606.60,34611.60,307.002,1698797399999,10632107.29070,4092,119.120,4126460.37900,0
1698797400000,34611.70,34612.50,34593,34599.20,175.623,1698797459999,6076998.83300,2707,55.580,1923269.85910,0
1698797460000,34599.10,34609.90,34584.30,34594.50,314.557,1698797519999,10881469.08990,3171,145.103,5019684.68470,0
1698797520000,34594.60,34619,34591.30,34616.40,195.410,1698797579999,6762751.71140,2845,85.787,2968924.03800,0
1698797580000,34616.30,34616.40,34592.40,34612.50,188.053,1698797639999,6507307.62360,3104,54.444,1883850.40970,0
1698797640000,34612.40,34612.50,34593.30,34604.60,139.795,1698797699999,4837017.96460,2253,23.103,799354.27010,0
1698797700000,34604.70,34620.10,34593,34601.30,203.441,1698797759999,7040836.82820,2921,71.140,2461873.69890,0
1698797760000,34601.30,34647.70,34601.30,34630.10,338.477,1698797819999,11721122.54510,5063,173.689,6014610.64480,0
1698797820000,34630.10,34636.60,34607.80,34615.80,166.350,1698797879999,5759836.87730,3014,66.798,2312635.02620,0
1698797880000,34615.70,34623.20,34600,34614,132.582,1698797939999,4588796.03010,2509,44.963,1556127.94190,0
1698797940000,34613.90,34628,34607.80,34628,127.462,1698797999999,4412763.64800,2015,57.192,1979991.87050,0
1698798000000,34627.90,34660,34627.90,34643.70,192.559,1698798059999,6671590.31510,3396,116.837,4048061.51230,0
1698798060000,34644,34647,34606.40,34608.60,149.532,1698798119999,5178265.76650,2672,40.371,1397879.44370,0
1698798120000,34608.60,34608.60,34563,34566.30,407.903,1698798179999,14103337.82280,4840,127.412,4404861.30140,0
1698798180000,34566.20,34570.40,34540.50,34551.70,391.510,1698798239999,13528264.82990,5050,130.692,4516063.78330,0
1698798240000,34551.70,34581.20,34545.80,34569.70,245.614,1698798299999,8488488.49330,2862,150.868,5214299.93130,0
1698798300000,34569.60,34580.70,34546.20,34555.10,193.659,1698798359999,6692952.77200,3244,54.981,1900348.95400,0
1698798360000,34555.20,34555.20,34526.90,34536.20,196.364,1698798419999,6782124.83450,3304,55.398,1913394.47300,0
1698798420000,34536.10,34548.50,34513.80,34546,406.954,1698798479999,14051734.19210,4475,157.129,5426162.42830,0
1698798480000,34546,34556.40,34545.10,34552.50,101.513,1698798539999,3507343.97020,1623,58.340,2015675.79700,0
1698798540000,34552.50,34563.60,34552.50,34562.70,75.627,1698798599999,2613590.80330,1258,45.708,1579601.49880,0
1698798600000,34562.90,34570.80,34547.10,34550.90,118.007,1698798659999,4078235.98860,2073,38.228,1321194.67270,0
1698798660000,34550.80,34565,34544,34559.20,67.711,1698798719999,2339891.25590,2594,30.239,1044938.75420,0
1698798720000,34559.20,34569.50,34552.20,34566.20,102.909,1698798779999,3556256.28180,2245,42.361,1463906.96650,0
1698798780000,34566.20,34585.70,34556,34584.30,208.549,1698798839999,7210259.41700,3304,95.022,3285491.64980,0
1698798840000,34584.20,34599,34565.80,34587.90,234.057,1698798899999,8095421.84400,3724,96.691,3344244.04210,0
1698798900000,34587.90,34618.10,34587.80,34589.50,298.032,1698798959999,10312704.38096,3539,135.117,4675521.57906,0
1698798960000,34589.40,34617,34580.70,34614.20,159.501,1698799019999,5518528.80660,2546,71.893,2487672.48770,0
1698799020000,34614.20,34614.30,34596.90,34600.60,162.083,1698799079999,5608844.68560,2277,41.415,1433018.77380,0
1698799080000,34600.50,34604.20,34592.70,34601.90,67.419,1698799139999,2332518.61850,1302,36.912,1277016.48420,0
1698799140000,34601.90,34609,34592.80,34592.90,96.737,1698799199999,3347383.74980,1799,27.286,944180.89380,0
1698799200000,34592.90,34604.70,34570.80,34570.80,122.314,1698799259999,4231345.69520,2011,27.137,938929.85410,0
1698799260000,34570.80,34570.90,34538.10,34544.20,194.999,1698799319999,6737197.56190,3178,72.756,2513488.26330,0
1698799320000,34544.20,34556.30,34521.10,34527.50,250.411,1698799379999,8648050.95020,3517,80.746,2788644.78510,0
1698799380000,34527.50,34536.90,34523.50,34524.20,152.817,1698799439999,5276263.54850,1800,96.337,3326118.17750,0
1698799440000,34524.30,34534.20,34520.70,34524.20,80.420,1698799499999,2776594.56200,1447,34.174,1179894.97980,0
1698799500000,34524.20,34553.20,34524.10,34553.20,123.348,1698799559999,4260473.94480,1729,82.954,2865211.36920,0
1698799560000,34553.20,34555.20,34535.70,34541.60,97.015,1698799619999,3351442.74880,1695,35.238,1217278.79570,0
1698799620000,34541.70,34563.80,34538,34557.10,94.685,1698799679999,3271600.48010,1511,66.596,2301158.25790,0
1698799680000,34557.10,34564,34553.10,34563.90,51.834,1698799739999,1791152.20810,692,36.491,1260945.07590,0
1698799740000,34564,34570,34541.30,34541.90,103.061,1698799799999,3561276.16330,1718,40.797,1409798.71200,0
1698799800000,34541.80,34561,34541.80,34553.50,61.568,1698799859999,2127251.68150,993,40.160,1387543.00870,0
1698799860000,34553.60,34555.10,34541.10,34544,46.968,1698799919999,1622750.98680,937,17.196,594087.68530,0
1698799920000,34544.10,34548.30,34528.60,34528.70,82.019,1698799979999,2832933.30050,1413,19.591,676662.52900,0
1698799980000,34528.70,34528.70,34520.90,34520.90,72.547,1698800039999,2504796.91120,1056,13.653,471386.96490,0
1698800040000,34520.90,34521,34510,34520.40,147.027,1698800099999,5074768.59670,1814,35.325,1219280.48010,0
1698800100000,34520.40,34535.10,34520.30,34530,96.037,1698800159999,3315991.65600,1619,45.775,1580475.92250,0
1698800160000,34530,34538.10,34511.60,34511.60,100.808,1698800219999,3480484.53530,1663,14.205,490459.57520,0
1698800220000,34511.60,34525.80,34509.90,34517.80,115.599,1698800279999,3990174.99610,1643,33.176,1145147.70370,0
1698800280000,34517.80,34521,34506.70,34514.30,247.365,1698800339999,8537189.11660,2257,35.500,1225262.29920,0
1698800340000,34514.30,34524.50,34514.20,34522.30,83.725,1698800399999,2890169.60840,1050,54.601,1884808.17230,0
1698800400000,34522.30,34538.40,34522.30,34530.50,150.399,1698800459999,5193401.97910,2091,68.850,2377393.10780,0
1698800460000,34530.60,34537.20,34525.40,34525.50,86.857,1698800519999,2999308.59730,1375,32.663,1127915.00960,0
1698800520000,34525.50,34525.50,34512.90,34518.10,134.011,1698800579999,4625846.09370,1766,37.380,1290350.77010,0
1698800580000,34518,34534.70,34518,34522.60,79.260,1698800639999,2736448.19910,1379,37.636,1299367.78010,0
1698800640000,34522.60,34524.90,34512,34520.20,113.381,1698800699999,3913894.29680,1496,24.365,841084.97580,0
1698800700000,34520.20,34520.20,34500.10,34500.20,169.271,1698800759999,5841452.37130,2187,14.725,508128.84830,0
1698800760000,34500.10,34503.60,34475.30,34481,365.977,1698800819999,12622362.43100,4866,65.159,2247204.37900,0
1698800820000,34481,34516.80,34480.90,34511.70,186.310,1698800879999,6427195.92980,2406,137.430,4740932.12180,0
1698800880000,34511.70,34520,34495.50,34517.50,97.091,1698800939999,3350809.81230,2037,55.453,1913856.05100,0
1698800940000,34517.50,34520,34510.70,34519.90,62.262,1698800999999,2148963.94420,1017,38.179,1317739.12340,0
1698801000000,34519.90,34529.40,34512.70,34512.70,112.343,1698801059999,3878630.50940,1787,62.268,2149835.85430,0
1698801060000,34512.70,34522.80,34506.20,34514.70,66.201,1698801119999,2284887.25200,1295,44.202,1525613.29230,0
1698801120000,34514.70,34522.70,34507.80,34516.60,54.656,1698801179999,1886356.28030,1129,36.733,1267743.16730,0
1698801180000,34516.50,34538.50,34516.50,34538.40,50.431,1698801239999,1741239.89210,1230,45.044,1555280.78760,0
1698801240000,34538.50,34545.50,34535.70,34535.80,116.496,1698801299999,4023797.36790,1359,78.435,2709181.54790,0
1698801300000,34535.70,34544.30,34524.80,34524.80,82.320,1698801359999,2843140.62200,1311,50.771,1753611.59750,0
