open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1696896000000,1579.39,1579.40,1578.85,1578.91,807.461,1696896059999,1275075.19199,852,316.225,499349.34391,0
1696896060000,1578.91,1579.80,1578.85,1579.79,568.544,1696896119999,897931.22330,811,462.030,729713.02828,0
1696896120000,1579.80,1580.04,1579.80,1579.95,657.385,1696896179999,1038638.48024,616,360.450,569482.23709,0
1696896180000,1579.95,1580.34,1579.78,1580.01,2081.634,1696896239999,3289172.65567,1304,1297.231,2049721.40086,0
1696896240000,1580.01,1580.10,1578.66,1578.82,1851.476,1696896299999,2923550.04856,1310,710.406,1121680.13472,0
1696896300000,1578.82,1578.90,1578.22,1578.53,1735.666,1696896359999,2739831.03239,1084,781.692,1233932.18310,0
1696896360000,1578.54,1578.90,1578.22,1578.89,1055.640,1696896419999,1666443.69256,868,809.674,1278153.03438,0
1696896420000,1578.90,1580.79,1578.73,1580.79,1694.116,1696896479999,2676292.77999,1495,1428.385,2256452.34591,0
1696896480000,1580.79,1581.34,1580.79,1581.25,1920.836,1696896539999,3037152.07691,1592,950.985,1503600.77892,0
1696896540000,1581.26,1582.47,1581.26,1582.14,1974.003,1696896599999,3122917.56467,1999,1213.304,1919305.50090,0
1696896600000,1582.14,1582.28,1581.27,1581.53,1160.102,1696896659999,1835161.61952,1194,338.175,534933.10438,0
1696896660000,1581.53,1581.94,1580.79,1580.79,795.054,1696896719999,1257179.29199,1397,341.036,539264.00222,0
1696896720000,1580.78,1580.98,1579.93,1579.93,1014.001,1696896779999,1602646.66804,1173,485.425,767253.14366,0
1696896780000,1579.93,1579.94,1578.68,1578.75,1167.357,1696896839999,1843237.64474,1107,525.708,829994.38840,0
1696896840000,1578.75,1578.75,1578.26,1578.75,1044.391,1696896899999,1648486.66873,739,677.836,1069904.17248,0
1696896900000,1578.75,1580.11,1578.74,1579.99,760.598,1696896959999,1201234.55648,1159,476.739,752889.83551,0
1696896960000,1579.99,1579.99,1578.90,1578.90,462.109,1696897019999,729929.67495,560,70.721,111728.51142,0
1696897020000,1578.91,1579.09,1578.90,1579.01,586.845,1696897079999,926588.06361,421,464.448,733326.03501,0
1696897080000,1579.01,1579.55,1578.75,1579.32,785.019,1696897139999,1239568.31369,774,333.029,525837.40283,0
1696897140000,1579.33,1580.18,1579.11,1580.18,416.249,1696897199999,657614.63053,596,313.511,495304.87616,0
1696897200000,1580.18,1581.09,1580.02,1581.09,579.144,1696897259999,915227.02757,776,228.347,360881.41467,0
1696897260000,1581.09,1581.70,1580.64,1581.69,1056.119,1696897319999,1669937.03233,1354,517.388,818101.76188,0
1696897320000,1581.69,1582.56,1581.56,1582.54,997.744,1696897379999,1578421.70832,1195,568.913,900067.06420,0
1696897380000,1582.54,1582.76,1582.50,1582.51,646.738,1696897439999,1023563.27408,761,234.693,371439.49799,0
