open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701129600000,2027.57,2027.96,2027.26,2027.60,1627.254,1701129659999,3299411.14961,1747,971.025,1968843.22530,0
1701129660000,2027.60,2027.72,2026.58,2026.59,1278.696,1701129719999,2592199.81858,1339,273.788,555042.62959,0
1701129720000,2026.59,2027.52,2026.47,2026.83,1102.149,1701129779999,2233888.81898,1192,451.262,914600.82861,0
1701129780000,2026.82,2028.27,2026.82,2027.97,1150.783,1701129839999,2333501.65462,1024,874.373,1772910.87118,0
1701129840000,2027.97,2027.98,2026.81,2027.09,1000.280,1701129899999,2028019.33478,1189,256.876,520745.85697,0
1701129900000,2027.09,2027.21,2025.77,2026.96,931.502,1701129959999,1887584.03932,1318,277.432,562195.23321,0
1701129960000,2026.95,2027.16,2026.09,2026.19,938.881,1701130019999,1902960.86053,860,255.036,516948.53053,0
1701130020000,2026.20,2026.32,2025.88,2025.99,521.967,1701130079999,1057566.97659,805,154.422,312867.30987,0
1701130080000,2026,2026.62,2025.93,2026.12,623.902,1701130139999,1264079.73586,878,248.092,502651.61472,0
1701130140000,2026.12,2027,2026.12,2026.80,947.927,1701130199999,1921185.46312,888,466.285,944976.23534,0
1701130200000,2026.79,2026.80,2026.09,2026.42,755.487,1701130259999,1530841.42796,742,236.457,479102.52079,0
1701130260000,2026.43,2027,2026.43,2027,304.979,1701130319999,618143.11934,382,215.338,436451.58614,0
1701130320000,2027,2027,2025.25,2025.25,1425.557,1701130379999,2888289.19156,937,76.510,154978.34133,0
1701130380000,2025.25,2025.91,2024.85,2024.88,1755.605,1701130439999,3555486.50613,1466,757.117,1533353.21866,0
1701130440000,2024.88,2024.93,2024.04,2024.76,2704.776,1701130499999,5475761.25072,1654,846.695,1714079.46949,0
1701130500000,2024.76,2025.42,2024.40,2024.67,982.813,1701130559999,1990057.26788,1036,557.316,1128481.73668,0
1701130560000,2024.67,2024.78,2022.29,2023.51,3661.207,1701130619999,7407344.49187,2595,1443.079,2919496.73336,0
1701130620000,2023.50,2024.50,2023.28,2024.40,1014.016,1701130679999,2052318.09729,1024,508.568,1029225.50109,0
1701130680000,2024.41,2026.42,2024.41,2025.40,2423.668,1701130739999,4909616.66603,1818,1845.051,3737493.48829,0
1701130740000,2025.41,2026.46,2025.41,2026.18,1208.673,1701130799999,2448853.55502,1012,416.205,843264.92115,0
1701130800000,2026.20,2027.42,2026.20,2027.42,1834.735,1701130859999,3718616.01498,1482,790.686,1602492.42703,0
1701130860000,2027.41,2029.77,2027.41,2029.77,2051.815,1701130919999,4161603.35314,1841,1436.928,2914425.08261,0
1701130920000,2029.77,2033.28,2029.57,2032.91,8824.926,1701130979999,17924553.70979,7797,5959.640,12105482.16659,0
1701130980000,2032.98,2033.91,2031.38,2032.79,3840.281,1701131039999,7806180.80802,3548,2344.764,4766244.49342,0
1701131040000,2032.79,2033.87,2032.57,2033.38,2431.608,1701131099999,4944058.30851,1931,1516.582,3083474.69602,0
1701131100000,2033.39,2033.65,2031.08,2031.56,1738.638,1701131159999,3533583.99927,1632,549.178,1116050.52569,0
1701131160000,2031.56,2032.26,2030,2030.31,1887.888,1701131219999,3833707.98270,1704,636.551,1292642.25900,0
1701131220000,2030.31,2032.26,2030.31,2032.25,918.344,1701131279999,1865539.26957,1388,711.106,1444533.44955,0
1701131280000,2032.25,2032.49,2031.39,2031.83,1262.756,1701131339999,2565747.07239,1058,933.091,1895928.82427,0
1701131340000,2031.83,2032.51,2031.82,2032.50,607.368,1701131399999,1234291.46300,682,424.035,861708.64846,0
1701131400000,2032.51,2035.47,2032.36,2033.75,9084.572,1701131459999,18478884.07013,5195,6190.172,12591729.74017,0
1701131460000,2033.74,2037.19,2033.56,2035.59,9262.609,1701131519999,18854612.33955,5192,6015.034,12243733.74438,0
1701131520000,2035.59,2036.58,2035.24,2036.45,2512.584,1701131579999,5115547.75214,1884,1575.146,3207079.11894,0
1701131580000,2036.46,2037.21,2035.71,2036.22,2464.788,1701131639999,5019289.11861,2136,1461.236,2975669.63757,0
1701131640000,2036.22,2037.32,2035.50,2037.32,1938.149,1701131699999,3946511.99415,1636,1353.368,2755785.93904,0
1701131700000,2037.31,2037.31,2035.62,2035.62,1699.802,1701131759999,3462052.71097,1389,602.319,1226775.68564,0
1701131760000,2035.62,2036.96,2035.62,2035.94,1733.803,1701131819999,3530489.29900,1349,898.558,1829758.78581,0
1701131820000,2035.95,2037.50,2035.94,2037.50,1286.172,1701131879999,2619620.73526,1274,950.898,1936754.03290,0
1701131880000,2037.50,2040.46,2037.49,2040.12,8019.554,1701131939999,16353538.61493,6243,6334.376,12917207.60565,0
1701131940000,2040.12,2041.36,2038.78,2038.98,5476.159,1701131999999,11171875.41033,4006,2745.125,5600833.80000,0
1701132000000,2038.97,2038.98,2037,2037,2341.468,1701132059999,4771354.33519,1616,673.303,1371839.14664,0
1701132060000,2037,2037.67,2036.65,2037.44,1317.578,1701132119999,2684072.21754,1183,598.669,1219532.32590,0
1701132120000,2037.44,2038.75,2037.33,2037.48,1596.822,1701132179999,3254349.55680,1153,1206.550,2458906.83390,0
1701132180000,2037.47,2038.91,2037.47,2038.09,1753.119,1701132239999,3573100.18713,1536,1268.365,2585072.30078,0
1701132240000,2038.09,2038.52,2037.76,2037.83,970.922,1701132299999,1978702.57542,960,471.805,961516.36187,0
1701132300000,2037.83,2038.37,2035.24,2035.75,3958.109,1701132359999,8061696.41489,2485,1096.524,2233803.52907,0
1701132360000,2035.75,2037.05,2035.50,2036.58,1090.154,1701132419999,2219838.67000,1381,471.505,960087.21208,0
1701132420000,2036.57,2037.72,2036.57,2037.60,658.604,1701132479999,1341827.99838,788,445.050,906723.14910,0
1701132480000,2037.61,2037.61,2037,2037,367.918,1701132539999,749554.45097,330,60.468,123197.74735,0
1701132540000,2037,2037.01,2035.65,2035.91,1315.621,1701132599999,2678848.41862,1147,351.871,716507.01503,0
1701132600000,2035.92,2036.18,2034.84,2035.09,848.291,1701132659999,1726567.60196,947,139.400,283721.69355,0
1701132660000,2035.09,2035.72,2033.97,2034.23,1333.528,1701132719999,2713431.97436,1777,316.903,644872.31922,0
1701132720000,2034.23,2034.68,2033.17,2033.41,1410.377,1701132779999,2868734.53001,1290,345.772,703304.32662,0
1701132780000,2033.40,2035.26,2033.40,2034.81,1568.271,1701132839999,3190759.70244,1275,1150.389,2340606.48547,0
1701132840000,2034.77,2034.78,2034.11,2034.40,897.732,1701132899999,1826279.55722,759,288.679,587233.62317,0
1701132900000,2034.39,2035.51,2034.17,2035.25,765.363,1701132959999,1557595.51727,736,460.588,937314.90776,0
1701132960000,2035.26,2035.51,2033.83,2033.83,848.168,1701133019999,1725792.02191,813,275.741,561070.95149,0
1701133020000,2033.83,2033.83,2033.01,2033.48,1207.358,1701133079999,2455010.86795,1101,569.742,1158441.39278,0
1701133080000,2033.49,2033.88,2032.84,2033.28,795.831,1701133139999,1618291.99973,835,208.818,424584.29361,0
1701133140000,2033.27,2033.79,2032.80,2033.79,1019.214,1701133199999,2072160.08891,747,600.017,1219936.22425,0
1701133200000,2033.79,2034.48,2032.42,2032.42,1238.854,1701133259999,2519357.33726,1265,483.701,983752.43549,0
1701133260000,2032.43,2033.22,2032.22,2033.21,1177.640,1701133319999,2393785.02275,935,799.783,1625696.18860,0
1701133320000,2033.22,2033.50,2032.20,2032.21,935.098,1701133379999,1900892.43810,1021,214.484,436062.44071,0
1701133380000,2032.21,2032.38,2032,2032.20,692.946,1701133439999,1408177.23778,756,220.319,447716.01826,0
1701133440000,2032.20,2032.21,2031.45,2031.47,1046.146,1701133499999,2125615.63871,935,227.569,462379.49056,0
1701133500000,2031.47,2031.48,2030.41,2031.18,2440.250,1701133559999,4955871.74897,1736,473.545,961700.73330,0
1701133560000,2031.19,2031.82,2030.38,2030.39,1443.138,1701133619999,2931199.01626,1448,396.992,806340.01594,0
1701133620000,2030.39,2030.72,2029.96,2029.96,974.073,1701133679999,1977644.01427,963,257.644,523138.19232,0
1701133680000,2029.96,2030.55,2029.88,2030.47,920.316,1701133739999,1868354.25245,797,453.011,919669.15038,0
1701133740000,2030.46,2032.42,2029.96,2031.26,3310.218,1701133799999,6724100.47736,1871,2593.072,5267708.74097,0
1701133800000,2031.26,2031.26,2030.14,2030.15,336.378,1701133859999,683068.27455,561,160.888,326699.08244,0
1701133860000,2030.15,2032.29,2030.15,2031.68,737.233,1701133919999,1497606.78084,1211,492.359,1000110.46105,0
1701133920000,2031.68,2032.27,2031.68,2032.08,679.383,1701133979999,1380475.64098,581,404.351,821589.15218,0
1701133980000,2032.08,2032.45,2032,2032.45,404.715,1701134039999,822425.90143,368,332.211,675085.33710,0
1701134040000,2032.44,2032.59,2031.80,2031.80,775.295,1701134099999,1575499.34584,550,135.222,274800.82407,0
1701134100000,2031.81,2032.29,2029.45,2029.45,1554.499,1701134159999,3156922.56745,1482,340.747,691999.87633,0
1701134160000,2029.46,2030.39,2028.53,2028.74,2046.509,1701134219999,4153014.10494,2041,735.482,1492536.75474,0
1701134220000,2028.74,2028.75,2026.61,2027.44,2595.299,1701134279999,5262091.05167,2514,646.083,1309906.51393,0
1701134280000,2027.45,2029.13,2027.23,2028.82,1376.141,1701134339999,2790862.17732,1391,612.322,1241905.34373,0
1701134340000,2028.82,2029.40,2028.40,2028.64,1021.725,1701134399999,2072961.35270,828,561.984,1140228.77831,0
1701134400000,2028.64,2029.08,2028.60,2028.61,1063.780,1701134459999,2158199.09722,807,373.081,756907.61975,0
1701134460000,2028.60,2028.84,2027.02,2027.66,1391.811,1701134519999,2822253.97523,1095,380.797,772099.61266,0
1701134520000,2027.65,2027.95,2027.31,2027.49,755.406,1701134579999,1531759.89108,731,164.394,333315.06886,0
1701134580000,2027.50,2027.71,2026.36,2026.37,1035.771,1701134639999,2099353.56461,1023,299.464,606901.84500,0
1701134640000,2026.36,2026.71,2024.81,2025.49,5289.864,1701134699999,10714399.13650,3022,2702.012,5472207.08512,0
1701134700000,2025.50,2025.92,2025.18,2025.85,1077.298,1701134759999,2182216.44109,1033,506.173,1025327.16595,0
1701134760000,2025.86,2025.86,2024.77,2025.05,2282.469,1701134819999,4622364.51858,1819,816.185,1652844.31732,0
1701134820000,2025.06,2025.43,2024.55,2024.79,1722.007,1701134879999,3486990.96605,1202,523.943,1060962.05129,0
1701134880000,2024.80,2025.71,2024.76,2025.70,1225.513,1701134939999,2481652.93182,739,877.147,1776258.15819,0
1701134940000,2025.71,2025.71,2024.86,2025.08,570.859,1701134999999,1156079.06396,725,229.813,465369.30525,0
1701135000000,2025.07,2025.40,2024.55,2024.57,1757.987,1701135059999,3559735.92625,1372,618.770,1253011.14193,0
1701135060000,2024.57,2024.80,2024.39,2024.78,494.532,1701135119999,1001286.04264,495,186.421,377448.94836,0
1701135120000,2024.77,2025,2024.65,2025,1111.156,1701135179999,2249929.96812,451,857.532,1736377.20237,0
1701135180000,2024.99,2025.77,2024.57,2024.80,3760.431,1701135239999,7615396.95878,1475,2410.692,4881835.46160,0
1701135240000,2024.80,2024.93,2024.10,2024.47,881.366,1701135299999,1784287.54700,794,128.225,259591.68980,0
1701135300000,2024.48,2025.77,2024.04,2025.77,1291.713,1701135359999,2615159.10015,1081,328.386,664938.25607,0
1701135360000,2025.77,2027.11,2025.76,2027.01,943.725,1701135419999,1912429.83298,870,778.079,1576686.42745,0
1701135420000,2027.01,2027.48,2026.70,2026.74,1159.606,1701135479999,2350602.00222,840,603.266,1222855.34732,0
1701135480000,2026.73,2026.73,2025.12,2025.12,1184.879,1701135539999,2400381.12750,1086,189.717,384329.53944,0
1701135540000,2025.13,2025.13,2024.60,2025,783.868,1701135599999,1587230.77455,738,462.228,935956.60694,0
1701135600000,2025,2026.22,2024.99,2026.22,594.816,1701135659999,1204790.56887,751,465.006,941802.20607,0
1701135660000,2026.22,2026.67,2025.72,2026.06,432.662,1701135719999,876726.26703,655,139.901,283479.18231,0
1701135720000,2026.05,2026.58,2026.05,2026.52,381.110,1701135779999,772298.36356,446,246.178,498853.40527,0
1701135780000,2026.53,2027.32,2026.52,2027.31,341.540,1701135839999,692263.09424,424,264.919,536951.71340,0
1701135840000,2027.31,2027.31,2026.03,2026.04,597.675,1701135899999,1211375.08126,663,151.094,306265.56149,0
1701135900000,2026.04,2026.14,2025.85,2026.14,528.276,1701135959999,1070332.93396,541,264.095,535071.44090,0
1701135960000,2026.14,2026.82,2025.91,2026.65,562.944,1701136019999,1140877.08615,548,373.652,757265.53824,0
1701136020000,2026.62,2027,2026.25,2026.25,1083.065,1701136079999,2195062.82356,1051,435.236,882128.48931,0
1701136080000,2026.23,2026.80,2026.23,2026.43,427.970,1701136139999,867320.49050,514,154.415,312913.59239,0
1701136140000,2026.44,2026.44,2025.70,2025.70,516.343,1701136199999,1046088.36992,640,220.733,447166.56864,0
1701136200000,2025.70,2026.71,2025.70,2026.08,348.442,1701136259999,706043.47443,697,140.380,284431.59224,0
1701136260000,2026.08,2026.62,2026.07,2026.62,207.931,1701136319999,421311.31683,382,163.523,331327.80646,0
1701136320000,2026.61,2027,2026.61,2026.92,1072.626,1701136379999,2174168.94155,495,988.591,2003835.41951,0
1701136380000,2026.92,2029.12,2026.88,2029.12,2393.820,1701136439999,4853242.20594,1427,2200.479,4461193.72912,0
1701136440000,2029.12,2029.31,2027.79,2027.79,1289.846,1701136499999,2616528.00333,1060,683.979,1387370.05695,0
1701136500000,2027.80,2027.97,2026.57,2026.58,640.925,1701136559999,1299299.89850,1060,79.677,161561.77089,0
