open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1662163200000,19941.00,19942.70,19933.90,19935.90,230.630,1662163259999,4598471.47270,1751,110.729,2207890.37060,0
1662163260000,19935.90,19956.90,19932.30,19955.80,351.801,1662163319999,7018094.52110,2048,272.552,5437275.47870,0
1662163320000,19955.80,19955.80,19924.80,19927.70,366.607,1662163379999,7306889.74730,2277,177.217,3532161.87430,0
1662163380000,19927.90,19933.00,19922.00,19922.00,280.026,1662163439999,5579733.65850,2295,144.076,2870686.37690,0
1662163440000,19922.00,19929.90,19922.00,19929.10,146.134,1662163499999,2911866.28270,1223,81.179,1617545.71070,0
1662163500000,19929.20,19929.20,19911.60,19915.00,401.522,1662163559999,7996955.59110,2033,132.831,2645566.87420,0
1662163560000,19915.00,19936.90,19915.00,19933.30,207.523,1662163619999,4135820.33190,1548,139.305,2776263.24930,0
1662163620000,19933.20,19947.00,19932.60,19946.90,158.040,1662163679999,3150971.98820,1407,106.840,2130227.42310,0
1662163680000,19946.90,19949.30,19927.70,19930.80,125.569,1662163739999,2503602.83090,1132,46.282,922744.63260,0
1662163740000,19930.70,19942.40,19926.90,19942.40,121.515,1662163799999,2422128.28150,1099,73.502,1465109.51590,0
1662163800000,19942.30,19952.00,19942.30,19951.90,93.732,1662163859999,1869747.67940,965,64.237,1281390.84360,0
1662163860000,19952.00,19953.30,19946.40,19950.00,123.715,1662163919999,2468142.48780,1073,69.878,1394083.27770,0
1662163920000,19949.90,19956.90,19942.10,19952.70,132.618,1662163979999,2645887.25370,1341,87.760,1750917.83310,0
1662163980000,19952.80,19958.80,19952.70,19958.20,94.809,1662164039999,1892107.04020,786,74.737,1491518.96070,0
1662164040000,19958.10,19963.90,19950.20,19950.20,340.811,1662164099999,6802705.99420,1787,207.513,4142180.70090,0
1662164100000,19950.20,19964.80,19950.20,19960.70,328.123,1662164159999,6548865.17250,1740,263.136,5251771.29850,0
1662164160000,19960.70,19964.90,19958.00,19958.50,129.107,1662164219999,2577237.42770,1248,73.595,1469129.78050,0
1662164220000,19958.40,19977.10,19958.40,19973.10,228.042,1662164279999,4554033.04350,1757,174.686,3488509.97390,0
1662164280000,19973.10,19973.20,19955.70,19958.30,117.592,1662164339999,2347894.60450,1271,46.515,928681.57910,0
1662164340000,19958.30,19967.00,19954.90,19965.50,119.451,1662164399999,2384506.66720,1046,45.023,898717.96080,0
1662164400000,19965.50,19968.60,19956.90,19959.50,107.365,1662164459999,2143260.06820,1008,55.291,1103736.69860,0
1662164460000,19959.60,19972.00,19959.60,19971.70,67.451,1662164519999,1346819.61790,769,42.612,850833.37440,0
1662164520000,19971.70,19980.00,19971.60,19978.10,207.630,1662164579999,4147906.07200,1687,134.886,2694661.04570,0
1662164580000,19978.00,19982.00,19975.10,19977.30,175.198,1662164639999,3500310.25720,1590,81.178,1621846.11600,0
1662164640000,19977.20,19977.80,19965.40,19969.20,79.383,1662164699999,1585337.53330,1002,28.523,569615.75430,0
1662164700000,19969.30,19979.30,19968.30,19968.30,126.955,1662164759999,2535966.28630,1256,49.076,980295.43510,0
1662164760000,19968.30,19978.00,19965.30,19976.10,99.449,1662164819999,1986333.58710,965,34.307,685160.14020,0
1662164820000,19976.10,19978.00,19973.40,19977.90,65.119,1662164879999,1300789.76380,648,27.476,548854.19500,0
1662164880000,19977.90,19978.00,19963.30,19963.30,92.997,1662164939999,1856862.75260,930,17.514,349667.20990,0
1662164940000,19963.40,19963.40,19954.00,19955.90,118.224,1662164999999,2359456.56380,1056,40.666,811574.87240,0
1662165000000,19955.90,19962.40,19954.00,19960.30,148.576,1662165059999,2965236.22340,1056,72.108,1439042.83050,0
1662165060000,19960.20,19967.40,19939.70,19967.40,793.552,1662165119999,15831264.24040,3375,462.335,9223769.51390,0
1662165120000,19967.40,19983.70,19966.70,19983.60,490.790,1662165179999,9804646.83800,2105,274.624,5485957.59890,0
1662165180000,19983.50,19984.60,19979.80,19982.30,158.214,1662165239999,3161538.55340,1372,71.744,1433635.56820,0
1662165240000,19982.40,19990.00,19980.50,19989.30,210.160,1662165299999,4200407.21690,1572,141.306,2824300.37860,0
1662165300000,19989.20,19990.00,19975.00,19977.20,178.249,1662165359999,3562399.23550,1402,85.544,1709716.90810,0
1662165360000,19977.30,19988.40,19973.30,19988.20,131.802,1662165419999,2633347.28190,1254,85.730,1712895.82090,0
1662165420000,19988.20,19988.40,19974.20,19977.60,143.159,1662165479999,2860759.72770,1141,56.665,1132460.81060,0
1662165480000,19977.70,20006.00,19974.50,20002.80,493.354,1662165539999,9865666.66950,3386,309.683,6192838.10040,0
1662165540000,20002.80,20048.50,20000.00,20010.00,1901.621,1662165599999,38083911.41330,8320,1329.827,26633123.19660,0
1662165600000,20010.10,20018.60,20000.10,20016.80,428.294,1662165659999,8569564.88460,2779,244.550,4893295.43320,0
1662165660000,20016.80,20029.40,20011.70,20029.30,597.560,1662165719999,11964160.54460,3700,428.105,8571360.72140,0
1662165720000,20029.30,20039.10,20028.10,20028.10,384.495,1662165779999,7702550.34470,2855,223.463,4476687.02230,0
1662165780000,20028.10,20050.00,20021.60,20041.30,554.641,1662165839999,11111659.49870,3309,359.957,7211236.05180,0
1662165840000,20041.20,20041.30,20029.70,20030.60,277.548,1662165899999,5560687.90990,1775,74.109,1484800.89490,0
1662165900000,20030.60,20033.50,20025.00,20026.70,235.468,1662165959999,4716263.18690,1858,130.737,2618561.65910,0
1662165960000,20026.70,20026.80,20011.70,20026.20,296.255,1662166019999,5929920.55330,1889,91.096,1823511.97850,0
1662166020000,20026.20,20032.00,20021.30,20021.30,229.529,1662166079999,4597071.22530,1433,73.543,1472856.80210,0
1662166080000,20021.40,20021.40,20009.40,20011.70,335.915,1662166139999,6722892.81810,1885,78.406,1569072.57690,0
1662166140000,20011.70,20018.00,20007.00,20008.50,162.890,1662166199999,3259684.44000,1224,51.606,1032659.36200,0
1662166200000,20008.50,20008.50,20000.40,20005.40,139.128,1662166259999,2783314.77540,1251,56.700,1134277.81550,0
1662166260000,20005.40,20034.90,20005.40,20028.10,245.703,1662166319999,4919091.36710,1717,166.870,3340751.28160,0
1662166320000,20028.10,20028.10,20017.40,20023.50,216.332,1662166379999,4331282.97600,1430,81.327,1628170.43660,0
1662166380000,20023.50,20026.10,20018.20,20020.10,118.225,1662166439999,2367159.82800,864,45.798,917010.97060,0
1662166440000,20020.10,20027.50,20018.00,20027.40,164.058,1662166499999,3284853.52530,1060,106.023,2122903.11740,0
1662166500000,20027.40,20031.60,20019.50,20019.50,134.402,1662166559999,2691700.19660,1206,56.505,1131657.23040,0
1662166560000,20019.50,20019.50,20009.40,20011.60,143.795,1662166619999,2877757.87120,1257,38.047,761342.41480,0
1662166620000,20011.50,20011.60,19992.70,19997.70,401.834,1662166679999,8037155.29800,2206,96.522,1930841.55560,0
1662166680000,19997.70,19997.80,19995.30,19997.50,105.388,1662166739999,2107385.20760,898,34.517,690225.33160,0
1662166740000,19997.50,19997.50,19990.00,19991.80,173.807,1662166799999,3474862.93810,1325,31.565,631042.86520,0
1662166800000,19991.80,19998.40,19987.50,19990.20,158.925,1662166859999,3177258.22620,1548,81.813,1635671.27470,0
1662166860000,19990.20,19994.90,19990.20,19992.90,90.401,1662166919999,1807349.47920,920,58.304,1165646.38240,0
1662166920000,19992.90,19992.90,19982.50,19982.60,306.177,1662166979999,6118736.23960,1718,66.167,1322344.92020,0
1662166980000,19982.60,19988.90,19979.00,19985.20,196.297,1662167039999,3922749.28040,1784,95.277,1904019.43190,0
1662167040000,19985.20,19985.30,19960.40,19966.50,556.054,1662167099999,11105165.32970,2755,116.228,2321251.74080,0
1662167100000,19966.40,19966.50,19947.20,19947.20,342.128,1662167159999,6827511.86000,2180,71.177,1420506.40400,0
1662167160000,19947.30,19958.30,19946.90,19954.70,296.722,1662167219999,5920101.56240,2066,150.067,2994115.00480,0
1662167220000,19954.60,19954.70,19946.00,19946.00,171.370,1662167279999,3418859.42450,1256,95.096,1897153.65100,0
1662167280000,19946.00,19955.00,19945.10,19954.10,224.476,1662167339999,4478082.17590,1305,152.059,3033472.28980,0
1662167340000,19954.20,19954.20,19933.90,19938.00,326.564,1662167399999,6511682.10020,2036,101.821,2030228.38750,0
1662167400000,19938.00,19944.90,19920.00,19924.30,573.134,1662167459999,11421502.80920,3682,188.871,3763458.84460,0
1662167460000,19924.30,19933.20,19924.20,19932.40,145.159,1662167519999,2893180.54220,1141,113.031,2252824.35570,0
1662167520000,19932.40,19943.60,19931.00,19938.30,218.810,1662167579999,4362417.28880,1690,152.720,3044745.70640,0
1662167580000,19938.40,19943.70,19933.40,19939.90,152.894,1662167639999,3048441.18100,1309,95.622,1906588.09000,0
1662167640000,19940.00,19940.00,19932.50,19938.50,104.366,1662167699999,2080731.80720,1114,55.612,1108742.33370,0
1662167700000,19938.50,19946.60,19938.40,19943.30,151.678,1662167759999,3024880.28490,1283,99.743,1989163.81740,0
1662167760000,19943.30,19948.90,19943.20,19945.60,161.031,1662167819999,3211970.79220,1076,91.831,1831646.25660,0
1662167820000,19945.70,19958.00,19945.60,19954.30,163.948,1662167879999,3271543.08320,1476,114.135,2277462.78980,0
1662167880000,19954.40,19965.00,19954.30,19964.40,172.964,1662167939999,3452406.32690,1189,140.318,2800786.28130,0
1662167940000,19964.40,19964.80,19962.70,19964.30,115.427,1662167999999,2304399.97040,835,53.368,1065427.05040,0
1662168000000,19964.20,19967.50,19958.00,19966.40,98.682,1662168059999,1970086.08350,1120,46.253,923399.21720,0
1662168060000,19966.40,19966.40,19953.10,19957.60,74.497,1662168119999,1486883.92100,906,34.520,688905.48860,0
1662168120000,19957.50,19957.90,19954.90,19955.00,53.271,1662168179999,1063107.87260,570,17.658,352399.07270,0
1662168180000,19955.00,19964.20,19954.90,19962.80,78.699,1662168239999,1570847.74220,664,40.127,800853.39880,0
1662168240000,19962.80,19963.50,19962.80,19963.50,31.381,1662168299999,626464.39240,275,22.669,452544.66760,0
1662168300000,19963.50,19967.20,19960.00,19961.40,223.978,1662168359999,4471528.33200,1081,88.660,1769874.82620,0
1662168360000,19961.40,19961.50,19949.10,19949.10,72.020,1662168419999,1437193.71820,745,14.134,282049.78430,0
1662168420000,19949.10,19949.20,19940.00,19947.30,204.318,1662168479999,4074875.64770,1362,95.401,1902587.88220,0
1662168480000,19947.30,19952.70,19947.30,19948.60,115.609,1662168539999,2306492.87330,652,64.913,1295026.63600,0
1662168540000,19948.60,19960.00,19948.60,19956.20,79.940,1662168599999,1595193.59240,832,50.718,1012005.17900,0
1662168600000,19956.20,19956.20,19946.20,19946.20,69.909,1662168659999,1394611.27150,759,27.266,543907.43670,0
1662168660000,19946.30,19946.30,19940.00,19943.30,69.868,1662168719999,1393417.93280,672,23.039,459472.26660,0
1662168720000,19943.40,19945.30,19940.00,19940.30,114.857,1662168779999,2290549.55860,725,36.590,729717.57180,0
1662168780000,19940.30,19943.10,19939.00,19942.10,70.719,1662168839999,1410168.12180,642,33.236,662756.57140,0
1662168840000,19942.10,19950.00,19942.10,19948.60,101.631,1662168899999,2027108.13690,712,75.491,1505660.03780,0
1662168900000,19948.50,19950.30,19940.20,19940.20,94.268,1662168959999,1880230.66980,805,34.215,682451.67980,0
1662168960000,19940.20,19940.30,19927.00,19930.90,145.922,1662169019999,2908689.48290,1342,49.611,988852.76690,0
1662169020000,19930.90,19934.80,19924.20,19932.60,220.796,1662169079999,4400156.83650,1591,87.830,1750353.31060,0
1662169080000,19932.60,19932.60,19926.50,19928.00,100.476,1662169139999,2002464.69750,1004,47.793,952515.29890,0
1662169140000,19928.00,19936.20,19928.00,19935.00,230.994,1662169199999,4604445.37350,1210,107.297,2138584.27500,0
